row;col;value
Massive whatsapp, tuenti and core user;Massive whatsapp, tuenti and core user;52.92
Mixed: Gtalk, whatsapp, tuenti, core;Massive whatsapp, tuenti and core user;6.75
Facebook and Google+ user;Massive whatsapp, tuenti and core user;0.06
Tuenti and Google+ user;Massive whatsapp, tuenti and core user;0.22
Massive core, starting whatsapp user;Massive whatsapp, tuenti and core user;5.05
Massive Gtalk, whatsapp, and core user;Massive whatsapp, tuenti and core user;0.91
Massive whatsapp, decreasing core user;Massive whatsapp, tuenti and core user;9.92
Facebook user;Massive whatsapp, tuenti and core user;0.08
Tuenti user;Massive whatsapp, tuenti and core user;7.08
Skype user;Massive whatsapp, tuenti and core user;1.22
Mixed: free messenger, voip and core;Massive whatsapp, tuenti and core user;3.37
google+ user;Massive whatsapp, tuenti and core user;0.08
core and whatsapp user;Massive whatsapp, tuenti and core user;11.31
Gtalk user;Massive whatsapp, tuenti and core user;0.41
Gtalk and whatsapp user;Massive whatsapp, tuenti and core user;0.62
Massive whatsapp, tuenti and core user;Mixed: Gtalk, whatsapp, tuenti, core;9.92
Mixed: Gtalk, whatsapp, tuenti, core;Mixed: Gtalk, whatsapp, tuenti, core;55.12
Facebook and Google+ user;Mixed: Gtalk, whatsapp, tuenti, core;0.01
Tuenti and Google+ user;Mixed: Gtalk, whatsapp, tuenti, core;0.13
Massive core, starting whatsapp user;Mixed: Gtalk, whatsapp, tuenti, core;1.84
Massive Gtalk, whatsapp, and core user;Mixed: Gtalk, whatsapp, tuenti, core;7.42
Massive whatsapp, decreasing core user;Mixed: Gtalk, whatsapp, tuenti, core;1.56
Facebook user;Mixed: Gtalk, whatsapp, tuenti, core;0.07
Tuenti user;Mixed: Gtalk, whatsapp, tuenti, core;4.99
Skype user;Mixed: Gtalk, whatsapp, tuenti, core;0.08
Mixed: free messenger, voip and core;Mixed: Gtalk, whatsapp, tuenti, core;8.18
google+ user;Mixed: Gtalk, whatsapp, tuenti, core;0.02
core and whatsapp user;Mixed: Gtalk, whatsapp, tuenti, core;0.6
Gtalk user;Mixed: Gtalk, whatsapp, tuenti, core;4.6
Gtalk and whatsapp user;Mixed: Gtalk, whatsapp, tuenti, core;5.48
Massive whatsapp, tuenti and core user;Facebook and Google+ user;0.09
Mixed: Gtalk, whatsapp, tuenti, core;Facebook and Google+ user;0.12
Facebook and Google+ user;Facebook and Google+ user;26.18
Tuenti and Google+ user;Facebook and Google+ user;3.18
Massive core, starting whatsapp user;Facebook and Google+ user;0.42
Massive Gtalk, whatsapp, and core user;Facebook and Google+ user;0.16
Massive whatsapp, decreasing core user;Facebook and Google+ user;0.62
Facebook user;Facebook and Google+ user;33.92
Tuenti user;Facebook and Google+ user;1.34
Skype user;Facebook and Google+ user;2.96
Mixed: free messenger, voip and core;Facebook and Google+ user;0.2
google+ user;Facebook and Google+ user;29.06
core and whatsapp user;Facebook and Google+ user;0.45
Gtalk user;Facebook and Google+ user;0.86
Gtalk and whatsapp user;Facebook and Google+ user;0.46
Massive whatsapp, tuenti and core user;Tuenti and Google+ user;1.27
Mixed: Gtalk, whatsapp, tuenti, core;Tuenti and Google+ user;0.97
Facebook and Google+ user;Tuenti and Google+ user;1.83
Tuenti and Google+ user;Tuenti and Google+ user;51.27
Massive core, starting whatsapp user;Tuenti and Google+ user;0.06
Massive Gtalk, whatsapp, and core user;Tuenti and Google+ user;0.02
Massive whatsapp, decreasing core user;Tuenti and Google+ user;0.26
Facebook user;Tuenti and Google+ user;3.3
Tuenti user;Tuenti and Google+ user;28.11
Skype user;Tuenti and Google+ user;0.51
Mixed: free messenger, voip and core;Tuenti and Google+ user;0.09
google+ user;Tuenti and Google+ user;11.94
core and whatsapp user;Tuenti and Google+ user;0.05
Gtalk user;Tuenti and Google+ user;0.27
Gtalk and whatsapp user;Tuenti and Google+ user;0.06
Massive whatsapp, tuenti and core user;Massive core, starting whatsapp user;5.88
Mixed: Gtalk, whatsapp, tuenti, core;Massive core, starting whatsapp user;3.07
Facebook and Google+ user;Massive core, starting whatsapp user;0.19
Tuenti and Google+ user;Massive core, starting whatsapp user;0.03
Massive core, starting whatsapp user;Massive core, starting whatsapp user;29.34
Massive Gtalk, whatsapp, and core user;Massive core, starting whatsapp user;11.25
Massive whatsapp, decreasing core user;Massive core, starting whatsapp user;9
Facebook user;Massive core, starting whatsapp user;0.89
Tuenti user;Massive core, starting whatsapp user;1.53
Skype user;Massive core, starting whatsapp user;4.51
Mixed: free messenger, voip and core;Massive core, starting whatsapp user;7.41
google+ user;Massive core, starting whatsapp user;0.42
core and whatsapp user;Massive core, starting whatsapp user;19.05
Gtalk user;Massive core, starting whatsapp user;5.24
Gtalk and whatsapp user;Massive core, starting whatsapp user;2.18
Massive whatsapp, tuenti and core user;Massive Gtalk, whatsapp, and core user;0.62
