	Mixed: Gtalk, whatsapp, tuenti, core	Massive core, starting whatsapp user	google+ user	Facebook user	Massive whatsapp, decreasing core user	Social network	Massive Gtalk, whatsapp, and core user	Facebook and Google+ user	Massive whatsapp, tuenti and core user	Tuenti and Google+ user	Mixed: free messenger, voip and core	Gtalk user	Tuenti user	core and whatsapp user	Skype user
Massive core, starting whatsapp user	1.84	29.34	0.52	1.44	7.67	0.19	5.74	0.42	5.05	0.06	6.23	4.27	4.64	17.29	7.63
google+ user	0.02	0.42	63.69	13.55	0.41	8.54	0.05	29.06	0.08	11.94	0.19	0.67	1.18	0.13	8.46
Facebook user	0.07	0.89	12.87	58.05	0.42	16.7	0.21	33.92	0.08	3.3	0.31	1.12	1.56	0.19	4.41
Mixed: Gtalk, whatsapp, tuenti, core	55.12	3.07	0.13	0.09	1.32	1.16	3.51	0.12	6.75	0.97	4.84	3.2	13.4	0.78	0.14
Massive whatsapp, decreasing core user	1.56	9	0.99	3.17	52.47	0.29	3.56	0.62	9.92	0.26	6.38	9.01	4.8	15.08	6.29
Massive Gtalk, whatsapp, and core user	7.42	11.25	0.11	0.4	2.18	0	39.96	0.16	0.91	0.02	10.74	11.11	1.08	4.5	0.36
Facebook and Google+ user	0.01	0.19	6.9	10.8	0.1	7.54	0.05	26.18	0.06	1.83	0.1	0.19	0.2	0.14	2.62
Massive whatsapp, tuenti and core user	9.92	5.88	0.06	0.23	2.73	0.79	0.62	0.09	52.92	1.27	2.45	0.6	22.03	2.88	1.26
Tuenti and Google+ user	0.13	0.03	4.41	2.32	0.03	49.38	0	3.18	0.22	51.27	0.01	0.08	3.85	0	0.57
Mixed: free messenger, voip and core	8.18	7.41	0.18	0.82	3.77	0.2	10.8	0.2	3.37	0.09	43.82	8.87	2.32	3.96	2.34
Gtalk user	4.6	5.24	1.66	1.43	3.66	0.3	11.78	0.86	0.41	0.27	7.64	37.92	3	0.91	0.74
Tuenti user	4.99	1.53	3.92	2.89	1.87	13.81	0.15	1.34	7.08	28.11	0.92	1.36	38.07	0.25	1.36
core and whatsapp user	0.6	19.05	0.28	1.46	16.39	0.15	1.96	0.45	11.31	0.05	5.38	0.64	1.5	50.15	6.77
Skype user	0.08	4.51	3.96	2.76	2.24	0.82	0.16	2.96	1.22	0.51	2.1	0.4	1.16	2.45	56.53
Gtalk and whatsapp user	5.48	2.18	0.31	0.58	4.75	0.12	21.45	0.46	0.62	0.06	8.89	20.58	1.22	1.29	0.5
