category;count
2000/Algeria;5
2000/Argentina;20
2000/Armenia;1
2000/Australia;183
2000/Austria;4
2000/Azerbaijan;3
2000/Bahamas;11
2000/Barbados;1
2000/Belarus;22
2000/Belgium;7
2000/Brazil;48
2000/Bulgaria;13
2000/Cameroon;18
2000/Canada;31
2000/Chile;17
2000/China;79
2000/Chinese Taipei;5
2000/Colombia;1
2000/Costa Rica;2
2000/Croatia;10
2000/Cuba;65
2000/Czech Republic;9
2000/Denmark;25
2000/Estonia;3
2000/Ethiopia;8
2000/Finland;5
2000/France;66
2000/Georgia;6
2000/Germany;118
2000/Great Britain;54
2000/Greece;18
2000/Hungary;53
2000/Iceland;1
2000/India;1
2000/Indonesia;8
2000/Iran;4
2000/Ireland;1
2000/Israel;1
2000/Italy;65
2000/Jamaica;23
2000/Japan;44
2000/Kazakhstan;7
2000/Kenya;7
2000/Kuwait;1
2000/Kyrgyzstan;1
2000/Latvia;3
2000/Lithuania;17
2000/Macedonia;1
2000/Mexico;6
2000/Moldova;2
2000/Morocco;5
2000/Mozambique;1
2000/Netherlands;79
2000/New Zealand;4
2000/Nigeria;8
2000/North Korea;4
2000/Norway;43
2000/Poland;24
2000/Portugal;2
2000/Qatar;1
2000/Romania;46
2000/Russia;187
2000/Saudi Arabia;2
2000/Serbia and Montenegro;25
2000/Slovakia;6
2000/Slovenia;3
2000/South Africa;5
2000/South Korea;73
2000/Spain;42
2000/Sri Lanka;1
2000/Sweden;32
2000/Switzerland;14
2000/Thailand;3
2000/Trinidad and Tobago;2
2000/Turkey;5
2000/Ukraine;35
2000/United States;243
2000/Uruguay;1
2000/Uzbekistan;4
2000/Vietnam;1
2002/Australia;2
2002/Austria;20
2002/Belarus;1
2002/Bulgaria;3
2002/Canada;74
2002/China;16
2002/Croatia;4
2002/Czech Republic;3
2002/Estonia;3
2002/Finland;13
2002/France;15
2002/Germany;61
2002/Great Britain;6
2002/Italy;21
2002/Japan;2
2002/Netherlands;8
2002/Norway;41
2002/Poland;2
2002/Russia;38
2002/Slovenia;4
2002/South Korea;7
2002/Sweden;26
2002/Switzerland;24
2002/United States;84
2004/Argentina;49
2004/Australia;156
2004/Austria;8
2004/Azerbaijan;5
2004/Bahamas;2
2004/Belarus;17
2004/Belgium;3
2004/Brazil;40
2004/Bulgaria;17
2004/Cameroon;1
2004/Canada;17
2004/Chile;4
2004/China;94
2004/Chinese Taipei;9
2004/Colombia;2
2004/Croatia;21
2004/Cuba;62
2004/Czech Republic;12
2004/Denmark;29
2004/Dominican Republic;1
2004/Egypt;5
2004/Eritrea;1
2004/Estonia;3
2004/Ethiopia;7
2004/Finland;2
2004/France;53
2004/Georgia;4
2004/Germany;149
2004/Great Britain;57
2004/Greece;31
2004/Hong Kong;2
2004/Hungary;40
2004/India;1
2004/Indonesia;5
2004/Iran;6
2004/Israel;2
2004/Italy;104
2004/Jamaica;13
2004/Japan;93
2004/Kazakhstan;8
2004/Kenya;7
2004/Latvia;4
2004/Lithuania;3
2004/Mexico;4
2004/Mongolia;1
2004/Morocco;3
2004/Netherlands;77
2004/New Zealand;6
2004/Nigeria;8
2004/North Korea;5
2004/Norway;7
2004/Paraguay;17
2004/Poland;12
2004/Portugal;3
2004/Romania;39
2004/Russia;191
2004/Serbia and Montenegro;13
2004/Slovakia;10
2004/Slovenia;5
2004/South Africa;10
2004/South Korea;52
2004/Spain;29
2004/Sweden;12
2004/Switzerland;7
2004/Syria;1
2004/Thailand;8
2004/Trinidad and Tobago;1
2004/Turkey;10
2004/Ukraine;48
2004/United Arab Emirates;1
2004/United States;265
2004/Uzbekistan;5
2004/Venezuela;2
2004/Zimbabwe;3
2006/Australia;2
2006/Austria;30
2006/Belarus;1
2006/Bulgaria;1
2006/Canada;69
2006/China;13
2006/Croatia;3
2006/Czech Republic;27
2006/Estonia;3
2006/Finland;41
2006/France;15
2006/Germany;54
2006/Great Britain;1
2006/Italy;25
2006/Japan;1
2006/Latvia;1
2006/Netherlands;13
2006/Norway;23
2006/Poland;2
2006/Russia;41
2006/Slovakia;1
2006/South Korea;19
2006/Sweden;64
2006/Switzerland;21
2006/Ukraine;3
2006/United States;52
2008/Afghanistan;1
2008/Algeria;2
2008/Argentina;51
2008/Armenia;6
2008/Australia;149
2008/Austria;3
2008/Azerbaijan;7
2008/Bahamas;7
2008/Belarus;30
2008/Belgium;5
2008/Brazil;74
2008/Bulgaria;5
2008/Cameroon;1
2008/Canada;34
2008/Chile;1
2008/China;184
2008/Chinese Taipei;4
2008/Colombia;2
2008/Croatia;5
2008/Cuba;47
2008/Czech Republic;7
2008/Denmark;19
2008/Dominican Republic;2
2008/Ecuador;1
2008/Egypt;1
2008/Estonia;3
2008/Ethiopia;7
2008/Finland;5
2008/France;77
2008/Georgia;6
2008/Germany;99
2008/Great Britain;77
2008/Greece;7
2008/Hungary;27
2008/Iceland;14
2008/India;3
2008/Indonesia;7
2008/Iran;2
2008/Ireland;3
2008/Israel;1
2008/Italy;43
2008/Jamaica;19
2008/Japan;51
2008/Kazakhstan;13
2008/Kenya;14
