category;count
Alpine Skiing/Austria;27
Alpine Skiing/Croatia;9
Alpine Skiing/Czech Republic;1
Alpine Skiing/Finland;1
Alpine Skiing/France;6
Alpine Skiing/Germany;4
Alpine Skiing/Italy;4
Alpine Skiing/Norway;9
Alpine Skiing/Slovenia;2
Alpine Skiing/Sweden;8
Alpine Skiing/Switzerland;7
Alpine Skiing/United States;12
Archery/Australia;2
Archery/China;14
Archery/Chinese Taipei;6
Archery/France;3
Archery/Germany;3
Archery/Great Britain;1
Archery/Italy;10
Archery/Japan;5
Archery/Mexico;2
Archery/Netherlands;1
Archery/Russia;1
Archery/South Korea;34
Archery/Ukraine;7
Archery/United States;7
Athletics/Algeria;5
Athletics/Australia;16
Athletics/Austria;1
Athletics/Bahamas;24
Athletics/Bahrain;1
Athletics/Barbados;1
Athletics/Belarus;15
Athletics/Belgium;5
Athletics/Botswana;1
Athletics/Brazil;7
Athletics/Bulgaria;1
Athletics/Cameroon;2
Athletics/Canada;2
Athletics/China;11
Athletics/Colombia;1
Athletics/Croatia;2
Athletics/Cuba;21
Athletics/Czech Republic;7
Athletics/Denmark;3
Athletics/Dominican Republic;3
Athletics/Ecuador;1
Athletics/Eritrea;1
Athletics/Estonia;4
Athletics/Ethiopia;29
Athletics/Finland;3
Athletics/France;9
Athletics/Germany;16
Athletics/Great Britain;23
Athletics/Greece;10
Athletics/Grenada;1
Athletics/Guatemala;1
Athletics/Hungary;2
Athletics/Iceland;1
Athletics/Iran;1
Athletics/Ireland;1
Athletics/Italy;8
Athletics/Jamaica;80
Athletics/Japan;8
Athletics/Kazakhstan;3
Athletics/Kenya;39
Athletics/Latvia;3
Athletics/Lithuania;4
Athletics/Mexico;3
Athletics/Morocco;10
Athletics/Mozambique;1
Athletics/New Zealand;3
Athletics/Nigeria;21
Athletics/Norway;5
Athletics/Panama;1
Athletics/Poland;10
Athletics/Portugal;4
Athletics/Puerto Rico;1
Athletics/Qatar;1
Athletics/Romania;9
Athletics/Russia;98
Athletics/Saudi Arabia;1
Athletics/Slovenia;3
Athletics/South Africa;7
Athletics/Spain;3
Athletics/Sri Lanka;1
Athletics/Sudan;1
Athletics/Sweden;4
Athletics/Trinidad and Tobago;18
Athletics/Tunisia;1
Athletics/Turkey;5
Athletics/Uganda;1
Athletics/Ukraine;17
Athletics/United States;147
Badminton/China;44
Badminton/Denmark;7
Badminton/Great Britain;4
Badminton/India;1
Badminton/Indonesia;14
Badminton/Japan;2
Badminton/Malaysia;2
Badminton/Netherlands;1
Badminton/Russia;2
Badminton/South Korea;19
Baseball/Australia;24
Baseball/Cuba;72
Baseball/Japan;24
Baseball/South Korea;48
Baseball/United States;48
Basketball/Argentina;24
Basketball/Australia;48
Basketball/Brazil;12
Basketball/France;24
Basketball/Italy;12
Basketball/Lithuania;12
Basketball/Russia;36
Basketball/Spain;24
Basketball/United States;95
Beach Volleyball/Australia;2
Beach Volleyball/Brazil;18
Beach Volleyball/China;4
Beach Volleyball/Germany;4
Beach Volleyball/Latvia;2
Beach Volleyball/Spain;2
Beach Volleyball/Switzerland;2
Beach Volleyball/United States;14
Biathlon/Austria;6
Biathlon/Belarus;2
Biathlon/Bulgaria;1
Biathlon/Croatia;1
Biathlon/France;24
Biathlon/Germany;40
Biathlon/Kazakhstan;1
Biathlon/Norway;26
Biathlon/Poland;1
Biathlon/Russia;27
Biathlon/Slovakia;3
Biathlon/Sweden;5
Biathlon/Ukraine;1
Bobsleigh/Canada;10
Bobsleigh/Germany;26
Bobsleigh/Italy;2
Bobsleigh/Russia;6
Bobsleigh/Switzerland;10
Bobsleigh/United States;18
Boxing/Algeria;1
Boxing/Armenia;1
Boxing/Azerbaijan;6
Boxing/Belarus;2
Boxing/Brazil;3
Boxing/Bulgaria;2
Boxing/China;8
Boxing/Cuba;26
Boxing/Czech Republic;1
Boxing/Dominican Republic;1
Boxing/Egypt;3
Boxing/France;6
Boxing/Georgia;1
Boxing/Germany;3
Boxing/Great Britain;10
Boxing/Hungary;1
Boxing/India;2
Boxing/Ireland;7
Boxing/Italy;8
Boxing/Japan;2
Boxing/Kazakhstan;13
Boxing/Lithuania;1
Boxing/Mauritius;1
Boxing/Mexico;1
Boxing/Moldova;2
Boxing/Mongolia;4
Boxing/Morocco;1
Boxing/North Korea;2
Boxing/Romania;3
Boxing/Russia;22
Boxing/South Korea;4
Boxing/Spain;1
Boxing/Syria;1
Boxing/Tajikistan;1
Boxing/Thailand;8
Boxing/Turkey;2
Boxing/Ukraine;12
Boxing/United States;9
Boxing/Uzbekistan;6
Canoeing/Australia;19
Canoeing/Austria;1
Canoeing/Belarus;18
Canoeing/Bulgaria;2
Canoeing/Canada;10
Canoeing/China;4
Canoeing/Cuba;5
Canoeing/Czech Republic;12
Canoeing/Denmark;2
Canoeing/France;11
Canoeing/Germany;68
Canoeing/Great Britain;15
Canoeing/Hungary;54
Canoeing/Israel;1
Canoeing/Italy;11
Canoeing/Lithuania;1
Canoeing/New Zealand;2
Canoeing/Norway;7
Canoeing/Poland;16
Canoeing/Portugal;2
Canoeing/Romania;8
Canoeing/Russia;16
Canoeing/Slovakia;23
Canoeing/South Africa;1
Canoeing/Spain;9
Canoeing/Sweden;4
Canoeing/Togo;1
Canoeing/Ukraine;9
Canoeing/United States;1
Cross Country Skiing/Austria;3
Cross Country Skiing/Canada;4
Cross Country Skiing/Czech Republic;10
Cross Country Skiing/Estonia;7
Cross Country Skiing/Finland;7
Cross Country Skiing/France;1
Cross Country Skiing/Germany;31
Cross Country Skiing/Italy;20
Cross Country Skiing/Norway;38
Cross Country Skiing/Poland;4
Cross Country Skiing/Russia;21
Cross Country Skiing/Slovenia;1
Cross Country Skiing/Sweden;22
Cross Country Skiing/Switzerland;5
Curling/Canada;30
Curling/China;4
Curling/Finland;4
Curling/Great Britain;5
Curling/Norway;9
Curling/Sweden;8
Curling/Switzerland;18
Curling/United States;4
Cycling/Argentina;2
Cycling/Australia;36
Cycling/Belarus;1
Cycling/Belgium;4
Cycling/Canada;5
Cycling/China;7
Cycling/Colombia;4
Cycling/Cuba;1
Cycling/Czech Republic;1
Cycling/Denmark;6
Cycling/France;30
Cycling/Germany;36
Cycling/Great Britain;58
Cycling/Hong Kong;1
Cycling/Italy;7
Cycling/Japan;4
Cycling/Kazakhstan;2
