category;count
2000/Algeria/Athletics;4
2000/Algeria/Boxing;1
2000/Argentina/Hockey;16
2000/Argentina/Sailing;4
2000/Armenia/Weightlifting;1
2000/Australia/Archery;1
2000/Australia/Athletics;3
2000/Australia/Basketball;12
2000/Australia/Beach Volleyball;2
2000/Australia/Canoeing;3
2000/Australia/Cycling;9
2000/Australia/Diving;4
2000/Australia/Equestrian;5
2000/Australia/Hockey;32
2000/Australia/Judo;1
2000/Australia/Rowing;21
2000/Australia/Sailing;7
2000/Australia/Shooting;3
2000/Australia/Softball;15
2000/Australia/Swimming;46
2000/Australia/Taekwondo;2
2000/Australia/Tennis;2
2000/Australia/Trampoline;1
2000/Australia/Triathlon;1
2000/Australia/Waterpolo;13
2000/Austria/Athletics;1
2000/Austria/Sailing;3
2000/Azerbaijan/Boxing;1
2000/Azerbaijan/Shooting;1
2000/Azerbaijan/Wrestling;1
2000/Bahamas/Athletics;11
2000/Barbados/Athletics;1
2000/Belarus/Athletics;5
2000/Belarus/Judo;1
2000/Belarus/Modern Pentathlon;1
2000/Belarus/Rhythmic Gymnastics;7
2000/Belarus/Rowing;1
2000/Belarus/Shooting;4
2000/Belarus/Weightlifting;2
2000/Belarus/Wrestling;1
2000/Belgium/Cycling;3
2000/Belgium/Judo;2
2000/Belgium/Tennis;2
2000/Brazil/Athletics;5
2000/Brazil/Basketball;12
2000/Brazil/Beach Volleyball;6
2000/Brazil/Equestrian;4
2000/Brazil/Judo;2
2000/Brazil/Sailing;3
2000/Brazil/Swimming;4
2000/Brazil/Volleyball;12
2000/Bulgaria/Athletics;1
2000/Bulgaria/Canoeing;2
2000/Bulgaria/Gymnastics;2
2000/Bulgaria/Rowing;1
2000/Bulgaria/Shooting;2
2000/Bulgaria/Weightlifting;3
2000/Bulgaria/Wrestling;2
2000/Cameroon/Football;18
2000/Canada/Canoeing;2
2000/Canada/Diving;3
2000/Canada/Judo;1
2000/Canada/Rowing;9
2000/Canada/Swimming;1
2000/Canada/Synchronized Swimming;8
2000/Canada/Taekwondo;1
2000/Canada/Tennis;2
2000/Canada/Trampoline;2
2000/Canada/Triathlon;1
2000/Canada/Wrestling;1
2000/Chile/Football;17
2000/China/Athletics;1
2000/China/Badminton;12
2000/China/Cycling;1
2000/China/Diving;14
2000/China/Fencing;6
2000/China/Gymnastics;12
2000/China/Judo;4
2000/China/Shooting;8
2000/China/Table Tennis;12
2000/China/Taekwondo;1
2000/China/Weightlifting;7
2000/China/Wrestling;1
2000/Chinese Taipei/Table Tennis;1
2000/Chinese Taipei/Taekwondo;2
2000/Chinese Taipei/Weightlifting;2
2000/Colombia/Weightlifting;1
2000/Costa Rica/Swimming;2
2000/Croatia/Rowing;9
2000/Croatia/Weightlifting;1
2000/Cuba/Athletics;9
2000/Cuba/Baseball;24
2000/Cuba/Boxing;6
2000/Cuba/Canoeing;3
2000/Cuba/Fencing;3
2000/Cuba/Judo;5
2000/Cuba/Taekwondo;2
2000/Cuba/Volleyball;8
2000/Cuba/Wrestling;5
2000/Czech Republic/Athletics;2
2000/Czech Republic/Boxing;1
2000/Czech Republic/Canoeing;3
2000/Czech Republic/Shooting;2
2000/Czech Republic/Triathlon;1
2000/Denmark/Athletics;1
2000/Denmark/Badminton;1
2000/Denmark/Handball;15
2000/Denmark/Rowing;4
2000/Denmark/Sailing;3
2000/Denmark/Shooting;1
2000/Estonia/Athletics;1
2000/Estonia/Judo;2
2000/Ethiopia/Athletics;8
2000/Finland/Athletics;1
2000/Finland/Sailing;2
2000/Finland/Shooting;1
2000/Finland/Wrestling;1
2000/France/Basketball;12
2000/France/Boxing;2
2000/France/Canoeing;3
2000/France/Cycling;10
2000/France/Fencing;14
2000/France/Gymnastics;2
2000/France/Judo;6
2000/France/Rowing;8
2000/France/Shooting;2
2000/France/Swimming;1
2000/France/Synchronized Swimming;2
2000/France/Table Tennis;2
2000/France/Taekwondo;1
2000/France/Tennis;1
2000/Georgia/Boxing;1
2000/Georgia/Judo;1
2000/Georgia/Weightlifting;1
2000/Georgia/Wrestling;3
2000/Germany/Archery;3
2000/Germany/Athletics;5
2000/Germany/Beach Volleyball;2
2000/Germany/Boxing;1
2000/Germany/Canoeing;17
2000/Germany/Cycling;14
2000/Germany/Diving;3
2000/Germany/Equestrian;10
2000/Germany/Fencing;9
2000/Germany/Football;17
2000/Germany/Judo;1
2000/Germany/Rowing;14
2000/Germany/Sailing;6
2000/Germany/Swimming;11
2000/Germany/Taekwondo;1
2000/Germany/Tennis;1
2000/Germany/Triathlon;1
2000/Germany/Weightlifting;2
2000/Great Britain/Athletics;6
2000/Great Britain/Badminton;2
2000/Great Britain/Boxing;1
2000/Great Britain/Canoeing;2
2000/Great Britain/Cycling;10
2000/Great Britain/Equestrian;4
2000/Great Britain/Judo;1
2000/Great Britain/Modern Pentathlon;2
2000/Great Britain/Rowing;17
2000/Great Britain/Sailing;7
2000/Great Britain/Shooting;2
2000/Greece/Athletics;4
2000/Greece/Gymnastics;1
2000/Greece/Rhythmic Gymnastics;6
2000/Greece/Taekwondo;1
2000/Greece/Weightlifting;5
2000/Greece/Wrestling;1
2000/Hungary/Boxing;1
2000/Hungary/Canoeing;17
2000/Hungary/Fencing;1
2000/Hungary/Gymnastics;1
2000/Hungary/Handball;15
2000/Hungary/Modern Pentathlon;1
2000/Hungary/Shooting;1
2000/Hungary/Swimming;1
2000/Hungary/Waterpolo;13
2000/Hungary/Weightlifting;1
2000/Hungary/Wrestling;1
2000/Iceland/Athletics;1
2000/India/Weightlifting;1
2000/Indonesia/Badminton;5
2000/Indonesia/Weightlifting;3
2000/Iran/Taekwondo;1
2000/Iran/Weightlifting;2
2000/Iran/Wrestling;1
2000/Ireland/Athletics;1
2000/Israel/Canoeing;1
2000/Italy/Archery;3
2000/Italy/Athletics;2
2000/Italy/Boxing;1
2000/Italy/Canoeing;4
2000/Italy/Cycling;4
2000/Italy/Fencing;13
2000/Italy/Judo;4
2000/Italy/Rowing;12
2000/Italy/Sailing;2
2000/Italy/Shooting;2
2000/Italy/Swimming;6
2000/Italy/Volleyball;12
2000/Jamaica/Athletics;23
2000/Japan/Athletics;1
2000/Japan/Judo;8
2000/Japan/Softball;15
2000/Japan/Swimming;7
2000/Japan/Synchronized Swimming;11
2000/Japan/Taekwondo;1
2000/Japan/Wrestling;1
2000/Kazakhstan/Athletics;1
2000/Kazakhstan/Boxing;4
2000/Kazakhstan/Cycling;1
2000/Kazakhstan/Wrestling;1
2000/Kenya/Athletics;7
2000/Kuwait/Shooting;1
2000/Kyrgyzstan/Judo;1
2000/Latvia/Athletics;1
2000/Latvia/Gymnastics;1
2000/Latvia/Judo;1
2000/Lithuania/Athletics;1
2000/Lithuania/Basketball;12
2000/Lithuania/Cycling;1
2000/Lithuania/Rowing;2
2000/Lithuania/Shooting;1
2000/Macedonia/Wrestling;1
2000/Mexico/Athletics;2
2000/Mexico/Boxing;1
2000/Mexico/Diving;1
2000/Mexico/Taekwondo;1
2000/Mexico/Weightlifting;1
2000/Moldova/Boxing;1
2000/Moldova/Shooting;1
2000/Morocco/Athletics;4
2000/Morocco/Boxing;1
2000/Mozambique/Athletics;1
2000/Netherlands/Archery;1
2000/Netherlands/Cycling;4
2000/Netherlands/Equestrian;7
2000/Netherlands/Hockey;32
2000/Netherlands/Judo;1
2000/Netherlands/Rowing;15
2000/Netherlands/Sailing;1
2000/Netherlands/Swimming;16
2000/Netherlands/Tennis;2
2000/New Zealand/Equestrian;1
2000/New Zealand/Rowing;1
2000/New Zealand/Sailing;2
2000/Nigeria/Athletics;7
2000/Nigeria/Weightlifting;1
2000/North Korea/Boxing;1
2000/North Korea/Judo;1
2000/North Korea/Weightlifting;1
2000/North Korea/Wrestling;1
2000/Norway/Athletics;2
2000/Norway/Canoeing;2
2000/Norway/Football;17
2000/Norway/Handball;15
2000/Norway/Rowing;2
2000/Norway/Sailing;3
2000/Norway/Shooting;1
2000/Norway/Taekwondo;1
