category;count
15/Diving;4
15/Fencing;1
15/Gymnastics;7
15/Ice Hockey;1
15/Rhythmic Gymnastics;2
15/Short-Track Speed Skating;3
15/Swimming;5
16/Diving;10
16/Figure Skating;1
16/Football;1
16/Gymnastics;39
16/Ice Hockey;3
16/Rhythmic Gymnastics;9
16/Swimming;16
16/Table Tennis;1
17/Archery;5
17/Athletics;2
17/Basketball;1
17/Boxing;3
17/Diving;5
17/Fencing;1
17/Football;1
17/Gymnastics;22
17/Ice Hockey;3
17/Judo;1
17/Nordic Combined;1
17/Rhythmic Gymnastics;16
17/Shooting;1
17/Short-Track Speed Skating;7
17/Swimming;28
17/Taekwondo;3
17/Weightlifting;4
18/Archery;1
18/Athletics;6
18/Basketball;1
18/Boxing;1
18/Canoeing;2
18/Cycling;1
18/Diving;11
18/Fencing;3
18/Football;5
18/Gymnastics;26
18/Handball;1
18/Hockey;2
18/Ice Hockey;7
18/Judo;2
18/Nordic Combined;2
18/Rhythmic Gymnastics;16
18/Short-Track Speed Skating;10
18/Ski Jumping;2
18/Snowboarding;2
18/Swimming;39
18/Synchronized Swimming;3
18/Taekwondo;2
18/Tennis;3
18/Trampoline;1
18/Volleyball;1
18/Waterpolo;1
18/Weightlifting;2
18/Wrestling;2
19/Archery;5
19/Athletics;18
19/Badminton;1
19/Baseball;2
19/Basketball;3
19/Beach Volleyball;1
19/Boxing;8
19/Canoeing;4
19/Cross Country Skiing;1
19/Cycling;2
19/Diving;8
19/Fencing;8
19/Figure Skating;3
19/Football;16
19/Freestyle Skiing;1
19/Gymnastics;19
19/Handball;1
19/Hockey;7
19/Ice Hockey;7
19/Judo;3
19/Rhythmic Gymnastics;15
19/Rowing;1
19/Sailing;1
19/Shooting;5
19/Short-Track Speed Skating;16
19/Ski Jumping;2
19/Snowboarding;3
19/Softball;1
19/Speed Skating;6
19/Swimming;45
19/Synchronized Swimming;2
19/Table Tennis;2
19/Taekwondo;6
19/Trampoline;3
19/Volleyball;4
19/Waterpolo;9
19/Weightlifting;11
19/Wrestling;2
20/Alpine Skiing;7
20/Archery;6
20/Athletics;21
20/Badminton;1
20/Baseball;11
20/Basketball;6
20/Boxing;14
20/Canoeing;8
20/Cross Country Skiing;2
20/Cycling;18
20/Diving;6
20/Fencing;7
20/Figure Skating;3
20/Football;34
20/Freestyle Skiing;1
20/Gymnastics;24
20/Handball;2
20/Hockey;5
20/Ice Hockey;18
20/Judo;8
20/Luge;1
20/Nordic Combined;3
20/Rhythmic Gymnastics;7
20/Rowing;5
20/Sailing;1
20/Shooting;2
20/Short-Track Speed Skating;13
20/Ski Jumping;8
20/Snowboarding;2
20/Softball;4
20/Speed Skating;9
20/Swimming;65
20/Synchronized Swimming;8
20/Table Tennis;5
20/Taekwondo;9
20/Tennis;3
20/Trampoline;1
20/Volleyball;5
20/Waterpolo;8
20/Weightlifting;13
20/Wrestling;8
21/Alpine Skiing;2
21/Archery;10
21/Athletics;45
21/Badminton;5
21/Baseball;11
21/Basketball;5
21/Biathlon;4
21/Bobsleigh;1
21/Boxing;17
21/Canoeing;19
21/Cross Country Skiing;4
21/Cycling;12
21/Diving;14
21/Fencing;12
21/Figure Skating;6
21/Football;45
21/Freestyle Skiing;4
21/Gymnastics;19
21/Handball;5
21/Hockey;13
21/Ice Hockey;10
21/Judo;11
21/Nordic Combined;1
21/Rhythmic Gymnastics;5
21/Rowing;14
21/Sailing;6
21/Shooting;4
21/Short-Track Speed Skating;12
21/Skeleton;1
21/Ski Jumping;3
21/Snowboarding;2
21/Softball;3
21/Speed Skating;9
21/Swimming;89
21/Synchronized Swimming;20
21/Table Tennis;3
21/Taekwondo;12
21/Tennis;2
21/Trampoline;2
21/Volleyball;10
21/Waterpolo;21
21/Weightlifting;12
21/Wrestling;15
22/Alpine Skiing;1
22/Archery;3
22/Athletics;74
22/Badminton;10
22/Baseball;17
22/Basketball;14
22/Beach Volleyball;1
22/Biathlon;5
22/Bobsleigh;1
22/Boxing;21
22/Canoeing;27
22/Cross Country Skiing;6
22/Curling;1
22/Cycling;15
22/Diving;16
22/Fencing;15
22/Figure Skating;2
22/Football;75
22/Freestyle Skiing;4
22/Gymnastics;21
22/Handball;17
22/Hockey;28
22/Ice Hockey;34
22/Judo;16
22/Luge;3
22/Modern Pentathlon;2
22/Nordic Combined;8
22/Rhythmic Gymnastics;7
22/Rowing;26
22/Sailing;5
22/Shooting;6
22/Short-Track Speed Skating;7
22/Ski Jumping;3
22/Snowboarding;5
22/Softball;8
22/Speed Skating;9
22/Swimming;97
22/Synchronized Swimming;21
22/Table Tennis;7
22/Taekwondo;10
22/Tennis;8
22/Triathlon;2
22/Volleyball;14
22/Waterpolo;16
22/Weightlifting;18
22/Wrestling;14
23/Alpine Skiing;4
23/Archery;11
23/Athletics;63
23/Badminton;11
23/Baseball;18
23/Basketball;27
23/Beach Volleyball;1
23/Biathlon;7
23/Bobsleigh;1
23/Boxing;25
23/Canoeing;27
23/Cross Country Skiing;9
23/Curling;3
23/Cycling;16
23/Diving;12
23/Fencing;19
23/Figure Skating;6
23/Football;67
23/Freestyle Skiing;4
23/Gymnastics;27
23/Handball;27
23/Hockey;30
23/Ice Hockey;21
23/Judo;23
23/Luge;1
23/Nordic Combined;3
23/Rowing;39
23/Sailing;9
23/Shooting;10
23/Short-Track Speed Skating;15
23/Ski Jumping;3
23/Snowboarding;5
23/Softball;13
23/Speed Skating;11
23/Swimming;72
23/Synchronized Swimming;8
23/Table Tennis;7
23/Taekwondo;10
23/Tennis;5
23/Trampoline;7
23/Triathlon;2
23/Volleyball;16
23/Waterpolo;21
23/Weightlifting;23
23/Wrestling;18
24/Alpine Skiing;14
24/Archery;11
24/Athletics;59
24/Badminton;11
24/Baseball;18
24/Basketball;25
24/Beach Volleyball;2
24/Biathlon;12
24/Bobsleigh;4
24/Boxing;21
24/Canoeing;24
24/Cross Country Skiing;13
24/Curling;3
24/Cycling;29
24/Diving;5
24/Equestrian;2
24/Fencing;16
24/Figure Skating;7
24/Football;21
24/Freestyle Skiing;1
24/Gymnastics;25
24/Handball;20
24/Hockey;41
24/Ice Hockey;29
24/Judo;19
24/Luge;3
24/Modern Pentathlon;2
24/Nordic Combined;6
24/Rhythmic Gymnastics;5
24/Rowing;46
24/Sailing;16
24/Shooting;14
24/Short-Track Speed Skating;14
24/Skeleton;2
24/Ski Jumping;9
24/Snowboarding;8
24/Softball;19
24/Speed Skating;8
24/Swimming;82
24/Synchronized Swimming;8
24/Table Tennis;16
24/Taekwondo;14
24/Tennis;3
24/Trampoline;1
24/Triathlon;1
24/Volleyball;21
24/Waterpolo;30
24/Weightlifting;18
24/Wrestling;29
25/Alpine Skiing;9
25/Archery;3
25/Athletics;71
25/Badminton;15
25/Baseball;11
25/Basketball;18
25/Beach Volleyball;3
25/Biathlon;7
25/Bobsleigh;4
25/Boxing;16
25/Canoeing;31
25/Cross Country Skiing;12
25/Curling;3
25/Cycling;29
25/Diving;13
25/Equestrian;4
25/Fencing;23
25/Figure Skating;2
25/Football;18
25/Freestyle Skiing;4
25/Gymnastics;7
25/Handball;23
25/Hockey;34
25/Ice Hockey;33
25/Judo;26
25/Luge;1
25/Modern Pentathlon;3
25/Nordic Combined;1
25/Rhythmic Gymnastics;2
25/Rowing;57
25/Sailing;12
25/Shooting;7
25/Short-Track Speed Skating;14
25/Skeleton;2
25/Ski Jumping;2
25/Snowboarding;2
25/Softball;5
25/Speed Skating;10
25/Swimming;65
25/Synchronized Swimming;23
25/Table Tennis;6
