source;target;count
MX;US;12950828
CU;US;1201164
DO;US;967988
GT;US;929961
MA;FR;927737
CA;US;867411
US;MX;848576
CO;VE;819024
JM;US;765043
GB;US;758919
MA;ES;745674
CO;US;721533
DE;US;680925
GB;CA;674371
HT;US;663860
PT;FR;644206
HN;US;550694
IE;GB;412658
GB;ES;381025
BR;US;368006
CO;ES;359178
US;CA;316649
ES;FR;315179
DE;GB;311286
GB;ZA;305660
NI;CR;303523
GY;US;281371
NI;US;274293
AR;ES;268129
CD;CG;266319
HT;DO;258814
GB;IE;253605
NG;US;252172
TT;US;249001
DE;ES;240003
DE;FR;238107
SL;GN;226415
BJ;NG;226349
US;GB;222201
VE;US;218596
FR;ES;216248
ZA;GB;214009
DE;CA;200414
CL;AR;193007
SR;NL;191182
NG;GB;184314
AR;US;181766
FR;US;179531
GH;NG;176493
PT;US;175027
MA;NL;173489
PT;CA;172749
AO;PT;161395
FR;BE;155879
VE;ES;155034
BE;FR;152962
CI;LR;150586
GH;US;149596
NL;BE;148440
AO;CD;145561
JM;GB;145505
IE;US;143571
JM;CA;142933
TG;GH;142688
PT;BR;139825
FR;GB;139259
BR;PT;138664
PT;ES;137264
NL;DE;137157
NA;ZA;129488
NL;CA;128873
BR;ES;126834
DE;NL;126587
FR;DE;123751
UY;AR;119533
LR;GN;118353
NG;CM;115621
SN;FR;115393
CU;ES;115078
PA;US;112222
US;DE;111375
TG;NG;109862
CL;US;109513
PT;DE;107250
GN;CI;106803
ES;US;103068
ZA;US;101959
GY;CA;101004
FR;CA;100896
SN;GM;100736
GB;DE;96938
CA;GB;94000
MA;DE;93844
FR;PT;93781
LR;CI;92688
MA;BE;91090
ES;AR;90494
PT;GB;90314
ES;DE;88688
CI;FR;88450
